condition,trial,pipeline,outcome,xy_error_cm,note
dropout_10%_on_cube,10,raw,wrong_motion,79.09943315178492,cube_z=-0.000
dropout_10%_on_cube,10,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_10%_on_cube,11,raw,wrong_motion,78.79927844628843,cube_z=-0.000
dropout_10%_on_cube,11,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_10%_on_cube,12,raw,wrong_motion,81.91725675603644,cube_z=-0.000
dropout_10%_on_cube,12,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_10%_on_cube,13,raw,wrong_motion,78.05251640204564,cube_z=-0.000
dropout_10%_on_cube,13,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_10%_on_cube,14,raw,wrong_motion,78.46707416662781,cube_z=-0.000
dropout_10%_on_cube,14,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_10%_on_cube,15,raw,wrong_motion,78.7016622020347,cube_z=-0.000
dropout_10%_on_cube,15,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_10%_on_cube,16,raw,wrong_motion,79.17752666875155,cube_z=-0.000
dropout_10%_on_cube,16,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_10%_on_cube,17,raw,wrong_motion,83.69838639225836,cube_z=-0.000
dropout_10%_on_cube,17,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_10%_on_cube,18,raw,wrong_motion,76.29345892846722,cube_z=-0.000
dropout_10%_on_cube,18,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_10%_on_cube,19,raw,wrong_motion,83.66583201251404,cube_z=-0.000
dropout_10%_on_cube,19,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,0,raw,wrong_motion,78.48380137749614,cube_z=-0.000
dropout_25%_on_cube,0,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,1,raw,wrong_motion,78.35487641915526,cube_z=-0.000
dropout_25%_on_cube,1,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,2,raw,wrong_motion,83.09862189638105,cube_z=-0.000
dropout_25%_on_cube,2,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,3,raw,wrong_motion,80.03991521218063,cube_z=-0.000
dropout_25%_on_cube,3,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,4,raw,wrong_motion,76.57324471164758,cube_z=-0.000
dropout_25%_on_cube,4,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,5,raw,wrong_motion,81.75241073777332,cube_z=-0.000
dropout_25%_on_cube,5,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,6,raw,wrong_motion,79.74962088451827,cube_z=-0.000
dropout_25%_on_cube,6,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,7,raw,wrong_motion,85.3843858025961,cube_z=-0.000
dropout_25%_on_cube,7,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,8,raw,wrong_motion,80.45087182766602,cube_z=-0.000
dropout_25%_on_cube,8,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,9,raw,wrong_motion,82.91123238864859,cube_z=-0.000
dropout_25%_on_cube,9,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,10,raw,wrong_motion,79.09943315178492,cube_z=-0.000
dropout_25%_on_cube,10,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,11,raw,wrong_motion,78.79927844628843,cube_z=-0.000
dropout_25%_on_cube,11,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,12,raw,wrong_motion,81.91725675603644,cube_z=-0.000
dropout_25%_on_cube,12,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,13,raw,wrong_motion,78.05251640204564,cube_z=-0.000
dropout_25%_on_cube,13,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,14,raw,wrong_motion,78.46707416662781,cube_z=-0.000
dropout_25%_on_cube,14,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,15,raw,wrong_motion,78.7016622020347,cube_z=-0.000
dropout_25%_on_cube,15,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,16,raw,wrong_motion,79.17752666875155,cube_z=-0.000
dropout_25%_on_cube,16,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,17,raw,wrong_motion,83.69838639225836,cube_z=-0.000
dropout_25%_on_cube,17,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,18,raw,wrong_motion,76.29345892846722,cube_z=-0.000
dropout_25%_on_cube,18,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
dropout_25%_on_cube,19,raw,wrong_motion,83.66583201251404,cube_z=-0.000
dropout_25%_on_cube,19,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 0.00%, Inf 0.00%, zero 25.0"
truncated_depth,0,raw,no_motion,nan,crash: ValueError
truncated_depth,0,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,1,raw,no_motion,nan,crash: ValueError
truncated_depth,1,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,2,raw,no_motion,nan,crash: ValueError
truncated_depth,2,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,3,raw,no_motion,nan,crash: ValueError
truncated_depth,3,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,4,raw,no_motion,nan,crash: ValueError
