condition,trial,pipeline,outcome,xy_error_cm,note
dropout_25%_on_cube,9,raw,wrong_motion,82.91123238864859,cube_z=-0.000
dropout_25%_on_cube,9,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,10,raw,wrong_motion,79.09943315178492,cube_z=-0.000
dropout_25%_on_cube,10,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,11,raw,wrong_motion,78.79927844628843,cube_z=-0.000
dropout_25%_on_cube,11,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,12,raw,wrong_motion,81.91725675603644,cube_z=-0.000
dropout_25%_on_cube,12,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,13,raw,wrong_motion,78.05251640204564,cube_z=-0.000
dropout_25%_on_cube,13,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,14,raw,wrong_motion,78.46707416662781,cube_z=-0.000
dropout_25%_on_cube,14,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,15,raw,wrong_motion,78.7016622020347,cube_z=-0.000
dropout_25%_on_cube,15,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,16,raw,wrong_motion,79.17752666875155,cube_z=-0.000
dropout_25%_on_cube,16,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,17,raw,wrong_motion,83.69838639225836,cube_z=-0.000
dropout_25%_on_cube,17,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,18,raw,wrong_motion,76.29345892846722,cube_z=-0.000
dropout_25%_on_cube,18,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
dropout_25%_on_cube,19,raw,wrong_motion,83.66583201251404,cube_z=-0.000
dropout_25%_on_cube,19,safe,no_motion,nan,target rejected: depth confidence 0.00 < 0.50
